OrderID,ProductID,CustomerID,Quantity,UnitPrice,Discount,Sales,Profit,Region,Category,SubCategory,ShippingCost,OrderDate,ShipDate,CustomerSegment,Market,Country,City,State,ZipCode,ReturnStatus,StockAvailable,Rating,SupplierID,Priority,Status
7271,861,5391,5192,5735,6266,467,4427,South,Furniture,Laptops,770,2021-08-05 02:12:15,2021-08-14 02:12:15,Consumer,LATAM,USA,1185,4556,3386,Not Returned,8667,9275,2559,Medium,Shipped
2748,9168,9999,190,2735,3006,4659,1900,East,Electronics,Shirts,3557,2021-04-01 05:04:12,2021-04-08 05:04:12,Home Office,EU,USA,7514,2613,7042,Not Returned,6236,5487,7100,Critical,In Transit
8227,3153,1586,3944,7556,3074,1022,3844,South,Electronics,Tables,5676,2021-11-14 12:59:34,2021-11-19 12:59:34,Consumer,LATAM,Australia,1017,7870,6440,Returned,6864,7917,8530,Medium,Cancelled
4888,4860,6332,8572,8685,7209,5277,2063,South,Furniture,Tables,5464,2022-08-03 00:54:37,2022-08-04 00:54:37,Home Office,EMEA,Australia,6737,392,5893,Returned,6185,3100,6279,Low,Delivered
7216,2455,8997,2732,8155,9763,5057,8111,East,Clothing,Phones,503,2021-10-26 10:09:28,2021-11-02 10:09:28,Consumer,EMEA,India,5135,5978,7722,Not Returned,1485,7859,864,Medium,Delivered
8756,5117,6020,1758,7575,6375,6893,1679,South,Electronics,Shirts,6669,2021-09-11 06:44:47,2021-09-12 06:44:47,Consumer,EMEA,Australia,3628,9556,5451,Returned,9722,5593,7393,Medium,Cancelled
5865,9475,7527,8902,5576,5531,4414,3749,South,Furniture,Laptops,1496,2021-08-31 22:56:09,2021-09-06 22:56:09,Corporate,LATAM,Brazil,1292,3582,7555,Returned,1637,3697,699,Medium,Delivered
8165,5856,7393,6529,5250,5173,1708,5792,South,Furniture,Phones,3511,2021-03-23 05:11:00,2021-03-30 05:11:00,Corporate,US,USA,8005,2932,7778,Not Returned,7126,1931,6288,Medium,In Transit
4283,2512,9987,660,2812,7099,6547,9562,West,Clothing,Chairs,1735,2022-02-28 14:56:40,2022-03-04 14:56:40,Home Office,LATAM,India,6695,2386,4737,Returned,8156,8121,6617,Medium,In Transit
263,6288,8816,9209,2050,5424,4549,3109,West,Electronics,Tables,9875,2021-07-26 02:27:05,2021-07-27 02:27:05,Consumer,LATAM,Brazil,9889,1649,5540,Not Returned,4200,8446,2558,Medium,Cancelled
2201,2962,4974,4434,2870,957,8353,5700,East,Electronics,Laptops,4912,2022-07-06 16:35:46,2022-07-12 16:35:46,Consumer,EMEA,USA,4736,4556,9147,Returned,3447,1046,6894,High,Cancelled
8755,5896,3355,226,4894,7023,9152,5601,West,Clothing,Laptops,4643,2022-04-16 01:17:07,2022-04-19 01:17:07,Consumer,EMEA,USA,1070,3445,1061,Returned,3421,302,607,Critical,Cancelled
5089,9332,191,981,2976,6103,1185,3328,West,Furniture,Chairs,5855,2022-11-03 18:17:10,2022-11-09 18:17:10,Small Business,EU,Australia,3864,7456,4015,Returned,3010,7807,155,Low,Delivered
8097,7561,7344,7207,5597,5802,2807,538,North,Furniture,Shirts,6972,2022-08-06 01:45:37,2022-08-14 01:45:37,Small Business,US,India,6656,8174,4496,Returned,6003,6615,9359,Medium,In Transit
4147,3770,575,1149,6294,6458,7510,9908,East,Clothing,Laptops,3125,2022-11-03 06:28:34,2022-11-07 06:28:34,Corporate,US,India,4870,877,9184,Not Returned,4143,6967,7080,Medium,In Transit
4466,636,1694,9875,4753,8312,831,5178,East,Clothing,Shirts,5950,2021-09-16 22:10:56,2021-09-18 22:10:56,Corporate,US,Germany,1665,1082,513,Not Returned,5238,560,3673,Low,Cancelled
4071,9663,581,7005,8131,3148,4250,1680,East,Furniture,Tables,9436,2021-10-19 10:48:10,2021-10-24 10:48:10,Corporate,EMEA,Australia,9828,7422,9950,Returned,5882,6666,2850,Medium,Delivered
2490,9824,9208,9541,4612,2840,8528,5879,North,Clothing,Phones,1688,2022-01-03 17:58:36,2022-01-06 17:58:36,Home Office,US,Brazil,2739,5733,5388,Returned,5537,3914,1067,Low,In Transit
4108,5727,3374,8946,2083,8968,6749,9818,North,Furniture,Chairs,3975,2022-11-27 05:49:46,2022-12-01 05:49:46,Home Office,EMEA,USA,413,7544,7588,Returned,7165,8868,5989,High,Shipped
2787,1123,4080,1572,5074,5105,2144,9880,South,Clothing,Shirts,3767,2021-11-28 01:16:40,2021-12-01 01:16:40,Home Office,US,USA,729,1366,4493,Not Returned,7187,396,7401,High,Shipped
4361,2503,718,2783,4947,5487,8336,4981,West,Electronics,Chairs,5589,2022-11-24 22:21:25,2022-11-30 22:21:25,Consumer,EMEA,Australia,7861,5162,5306,Returned,4730,9349,7331,High,Delivered
4331,8011,6802,4847,6732,7242,954,2540,South,Clothing,Chairs,1192,2022-08-30 05:56:01,2022-08-31 05:56:01,Home Office,EU,Germany,6173,5542,9581,Not Returned,8692,9873,8703,Low,Shipped
1325,9348,3142,7420,3487,1811,6589,2924,South,Electronics,Chairs,5978,2022-03-26 11:02:37,2022-04-04 11:02:37,Home Office,EMEA,Brazil,9274,6620,8648,Not Returned,9577,3073,6531,Medium,Cancelled
1532,7577,824,929,5030,134,2106,3628,West,Furniture,Laptops,4176,2022-10-07 13:43:25,2022-10-14 13:43:25,Consumer,EMEA,Germany,5646,3487,3585,Not Returned,8054,3331,2704,High,Delivered
7115,1354,5064,8550,7576,668,4469,9338,South,Electronics,Shirts,7484,2022-01-19 01:55:14,2022-01-20 01:55:14,Corporate,EMEA,India,7103,7313,5321,Not Returned,7892,2780,925,Low,In Transit
3325,5714,7027,256,4805,1839,10,2872,West,Clothing,Phones,5125,2021-10-25 03:00:56,2021-10-31 03:00:56,Home Office,US,Australia,3926,6971,6939,Not Returned,4001,1634,7267,Critical,In Transit
405,8176,2001,9861,5990,1461,7191,7141,East,Electronics,Laptops,7246,2021-01-20 06:19:04,2021-01-26 06:19:04,Corporate,EMEA,India,7940,5566,4545,Returned,3420,7240,9767,Critical,Shipped
771,4364,1078,8428,8581,7902,4859,6545,West,Furniture,Shirts,1253,2021-09-26 09:18:32,2021-10-04 09:18:32,Consumer,APAC,USA,9522,6242,8018,Not Returned,9551,7003,1332,Medium,Delivered
9551,5116,4638,4855,3178,7731,2181,4893,East,Clothing,Shirts,3473,2022-07-13 14:42:46,2022-07-21 14:42:46,Home Office,US,Australia,7942,5570,4301,Not Returned,3819,1907,6255,Medium,Delivered
7351,6239,6091,6032,7688,9092,9912,8473,West,Electronics,Shirts,4189,2022-06-15 01:43:20,2022-06-24 01:43:20,Corporate,EMEA,Brazil,5586,4778,3901,Returned,6982,6377,524,High,Delivered
9946,7241,6938,6191,5241,6494,2879,4144,East,Furniture,Tables,5812,2022-05-11 21:26:59,2022-05-14 21:26:59,Home Office,EU,India,2126,365,6810,Not Returned,5127,5123,1647,Critical,Shipped
6507,5871,1532,8173,3346,7674,6950,6883,West,Clothing,Tables,5751,2021-11-24 17:15:49,2021-11-26 17:15:49,Small Business,EU,USA,7642,126,4633,Returned,3597,6169,9796,Low,Shipped
233,9362,6372,4207,9686,7944,6892,6739,South,Electronics,Phones,1762,2021-10-11 12:05:31,2021-10-14 12:05:31,Corporate,LATAM,Germany,1606,5623,6768,Not Returned,3518,3736,9353,High,Shipped
1064,4325,9112,5343,6,7490,8660,8196,North,Clothing,Shirts,2552,2022-08-07 23:27:53,2022-08-10 23:27:53,Corporate,LATAM,Australia,9334,8916,225,Not Returned,6284,2049,6234,Low,In Transit
1918,4235,6989,2027,3745,9094,10,261,West,Electronics,Chairs,7042,2022-04-17 21:21:25,2022-04-20 21:21:25,Corporate,EU,Germany,2833,2825,1995,Returned,9311,7985,1605,Critical,In Transit
8568,3531,5257,2636,8163,9763,2561,5416,North,Electronics,Phones,8008,2021-01-21 17:09:38,2021-01-22 17:09:38,Consumer,LATAM,India,4821,2899,7547,Not Returned,7578,4228,601,High,Delivered
9511,6944,7805,6566,5985,5143,4671,2191,East,Electronics,Chairs,1249,2021-01-07 20:46:35,2021-01-16 20:46:35,Small Business,APAC,USA,8390,5766,1203,Returned,5568,7668,5743,High,Cancelled
8670,9447,923,420,2205,1121,951,2337,East,Furniture,Phones,4613,2022-05-04 14:03:43,2022-05-08 14:03:43,Consumer,APAC,Brazil,7864,3229,3720,Returned,2892,3757,4226,Low,Delivered
6899,794,2117,5780,6167,815,346,8555,West,Clothing,Laptops,7791,2022-09-27 09:37:31,2022-10-05 09:37:31,Consumer,APAC,Germany,3877,5960,127,Returned,8796,6025,5110,Critical,Delivered
3369,3798,1793,5733,3477,3418,1646,9398,East,Furniture,Shirts,1855,2021-11-09 14:10:40,2021-11-16 14:10:40,Home Office,US,Brazil,7113,9525,8394,Not Returned,6457,4213,7971,Medium,Shipped
